# time  ID  size  fromHost  toHost  TTL  isResponse
13757.0000 M184 89621 s8 d0 300 N 
13834.0000 M185 54869 s19 d0 300 N 
13895.0000 M186 58064 s27 d0 300 N 
13966.0000 M187 93196 s13 d0 300 N 
14028.0000 M188 77788 s17 d0 300 N 
14114.0000 M189 77224 s22 d0 300 N 
14200.0000 M190 78324 s25 d0 300 N 
14268.0000 M191 65610 s13 d0 300 N 
14357.0000 M192 63690 s27 d0 300 N 
14430.0000 M193 53328 s32 d0 300 N 
14505.0000 M194 99490 s40 d0 300 N 
14574.0000 M195 65963 s13 d0 300 N 
14642.0000 M196 57429 s36 d0 300 N 
14703.0000 M197 66611 s13 d0 300 N 
14783.0000 M198 89890 s36 d0 300 N 
14864.0000 M199 95095 s25 d0 300 N 
14945.0000 M200 69739 s13 d0 300 N 
15030.0000 M201 72058 s29 d0 300 N 
15119.0000 M202 60562 s19 d0 300 N 
15207.0000 M203 94252 s37 d0 300 N 
15296.0000 M204 61960 s27 d0 300 N 
15374.0000 M205 64568 s25 d0 300 N 
15438.0000 M206 57661 s20 d0 300 N 
15512.0000 M207 51649 s40 d0 300 N 
15591.0000 M208 88589 s11 d0 300 N 
15670.0000 M209 75404 s31 d0 300 N 
15755.0000 M210 64049 s11 d0 300 N 
15832.0000 M211 57732 s42 d0 300 N 
15906.0000 M212 65139 s44 d0 300 N 
15988.0000 M213 82907 s41 d0 300 N 
16055.0000 M214 95734 s14 d0 300 N 
16117.0000 M215 68421 s35 d0 300 N 
16206.0000 M216 89285 s32 d0 300 N 
16278.0000 M217 81603 s28 d0 300 N 
16352.0000 M218 55220 s20 d0 300 N 
16413.0000 M219 75429 s42 d0 300 N 
16496.0000 M220 76052 s39 d0 300 N 
16564.0000 M221 52679 s24 d0 300 N 
16641.0000 M222 66358 s8 d0 300 N 
16724.0000 M223 58919 s36 d0 300 N 
16801.0000 M224 54957 s8 d0 300 N 
16886.0000 M225 98346 s15 d0 300 N 
16962.0000 M226 60098 s42 d0 300 N 
17039.0000 M227 67481 s19 d0 300 N 
17125.0000 M228 82141 s29 d0 300 N 
17187.0000 M229 65476 s18 d0 300 N 
17265.0000 M230 76578 s37 d0 300 N 
17350.0000 M231 63046 s19 d0 300 N 
17415.0000 M232 87933 s11 d0 300 N 
17499.0000 M233 76918 s21 d0 300 N 
17578.0000 M234 50628 s10 d0 300 N 
17653.0000 M235 86675 s33 d0 300 N 
17734.0000 M236 86674 s15 d0 300 N 
17810.0000 M237 77298 s12 d0 300 N 
17880.0000 M238 90709 s38 d0 300 N 
17944.0000 M239 94844 s18 d0 300 N 
18016.0000 M240 51076 s43 d0 300 N 
18076.0000 M241 57572 s41 d0 300 N 
18162.0000 M242 69604 s38 d0 300 N 
18232.0000 M243 64819 s24 d0 300 N 
18292.0000 M244 77190 s39 d0 300 N 
18360.0000 M245 89230 s13 d0 300 N 
18438.0000 M246 53114 s10 d0 300 N 
18523.0000 M247 82670 s16 d0 300 N 
18583.0000 M248 69757 s44 d0 300 N 
18663.0000 M249 82812 s40 d0 300 N 
18747.0000 M250 77135 s10 d0 300 N 
18823.0000 M251 79714 s28 d0 300 N 
18911.0000 M252 84866 s8 d0 300 N 
18988.0000 M253 72987 s22 d0 300 N 
19053.0000 M254 85919 s36 d0 300 N 
19132.0000 M255 98567 s12 d0 300 N 
19204.0000 M256 83643 s29 d0 300 N 
19267.0000 M257 88943 s36 d0 300 N 
19336.0000 M258 71267 s33 d0 300 N 
19412.0000 M259 51952 s30 d0 300 N 
19500.0000 M260 67519 s43 d0 300 N 
19571.0000 M261 54569 s28 d0 300 N 
19660.0000 M262 76404 s35 d0 300 N 
19745.0000 M263 56351 s16 d0 300 N 
19812.0000 M264 66894 s20 d0 300 N 
19886.0000 M265 63147 s24 d0 300 N 
19973.0000 M266 67634 s44 d0 300 N 
20039.0000 M267 91052 s23 d0 300 N 
20101.0000 M268 87543 s13 d0 300 N 
20185.0000 M269 91201 s39 d0 300 N 
20257.0000 M270 69146 s30 d0 300 N 
20345.0000 M271 68233 s32 d0 300 N 
20426.0000 M272 66524 s39 d0 300 N 
20488.0000 M273 57332 s16 d0 300 N 
20563.0000 M274 81486 s9 d0 300 N 
20635.0000 M275 74107 s13 d0 300 N 
20698.0000 M276 76697 s26 d0 300 N 
20780.0000 M277 76821 s12 d0 300 N 
20856.0000 M278 51446 s16 d0 300 N 
20936.0000 M279 61998 s39 d0 300 N 
21000.0000 M280 95690 s40 d0 300 N 
21086.0000 M281 95355 s12 d0 300 N 
21150.0000 M282 75483 s31 d0 300 N 
21237.0000 M283 58526 s36 d0 300 N 
21315.0000 M284 88354 s41 d0 300 N 
21376.0000 M285 87315 s42 d0 300 N 
21454.0000 M286 73116 s40 d0 300 N 
21529.0000 M287 70678 s11 d0 300 N 
21590.0000 M288 77216 s14 d0 300 N 
21658.0000 M289 61242 s38 d0 300 N 
21724.0000 M290 68433 s37 d0 300 N 
21812.0000 M291 67871 s14 d0 300 N 
21901.0000 M292 95653 s26 d0 300 N 
21973.0000 M293 84481 s29 d0 300 N 
22048.0000 M294 82837 s32 d0 300 N 
22124.0000 M295 84703 s32 d0 300 N 
22190.0000 M296 81369 s29 d0 300 N 
22274.0000 M297 88996 s38 d0 300 N 
22349.0000 M298 98504 s36 d0 300 N 
22427.0000 M299 78819 s10 d0 300 N 
22507.0000 M300 79412 s22 d0 300 N 
22567.0000 M301 66960 s8 d0 300 N 
22650.0000 M302 90073 s26 d0 300 N 
22710.0000 M303 99698 s44 d0 300 N 
22776.0000 M304 64849 s14 d0 300 N 
22836.0000 M305 64200 s20 d0 300 N 
22908.0000 M306 73227 s38 d0 300 N 
22986.0000 M307 54168 s42 d0 300 N 
23070.0000 M308 90246 s14 d0 300 N 
23138.0000 M309 72827 s24 d0 300 N 
23216.0000 M310 69382 s30 d0 300 N 
23278.0000 M311 83283 s26 d0 300 N 
23340.0000 M312 90646 s30 d0 300 N 
23405.0000 M313 63134 s43 d0 300 N 
23465.0000 M314 96726 s33 d0 300 N 
23532.0000 M315 73622 s29 d0 300 N 
23614.0000 M316 84992 s10 d0 300 N 
23690.0000 M317 55144 s15 d0 300 N 
23765.0000 M318 85672 s39 d0 300 N 
23852.0000 M319 98960 s25 d0 300 N 
23940.0000 M320 53769 s12 d0 300 N 
24007.0000 M321 58487 s8 d0 300 N 
24069.0000 M322 96200 s8 d0 300 N 
24135.0000 M323 63264 s42 d0 300 N 
24211.0000 M324 60860 s11 d0 300 N 
24278.0000 M325 57445 s44 d0 300 N 
24357.0000 M326 51072 s35 d0 300 N 
24439.0000 M327 59312 s9 d0 300 N 
24528.0000 M328 98939 s11 d0 300 N 
24613.0000 M329 78591 s30 d0 300 N 
24696.0000 M330 67474 s26 d0 300 N 
24777.0000 M331 60867 s40 d0 300 N 
24845.0000 M332 54101 s28 d0 300 N 
24910.0000 M333 94555 s22 d0 300 N 
24974.0000 M334 53438 s27 d0 300 N 
25060.0000 M335 75828 s20 d0 300 N 
25120.0000 M336 59552 s31 d0 300 N 
25205.0000 M337 93036 s35 d0 300 N 
25290.0000 M338 80679 s9 d0 300 N 
25372.0000 M339 55781 s30 d0 300 N 
25460.0000 M340 77609 s24 d0 300 N 
25520.0000 M341 93085 s26 d0 300 N 
25586.0000 M342 78039 s20 d0 300 N 
25673.0000 M343 83113 s34 d0 300 N 
25745.0000 M344 59903 s14 d0 300 N 
25814.0000 M345 53695 s37 d0 300 N 
25880.0000 M346 53514 s10 d0 300 N 
25956.0000 M347 58758 s14 d0 300 N 
26041.0000 M348 58391 s13 d0 300 N 
26106.0000 M349 54136 s12 d0 300 N 
26183.0000 M350 84064 s21 d0 300 N 
26250.0000 M351 80322 s28 d0 300 N 
26316.0000 M352 63073 s29 d0 300 N 
26396.0000 M353 96561 s8 d0 300 N 
26466.0000 M354 55732 s26 d0 300 N 
26552.0000 M355 89984 s11 d0 300 N 
26632.0000 M356 65488 s38 d0 300 N 
26721.0000 M357 64355 s39 d0 300 N 
26803.0000 M358 93921 s15 d0 300 N 
26875.0000 M359 79184 s37 d0 300 N 
26947.0000 M360 64974 s38 d0 300 N 
27032.0000 M361 98566 s22 d0 300 N 
27102.0000 M362 75212 s29 d0 300 N 
27176.0000 M363 94505 s8 d0 300 N 
27236.0000 M364 91670 s26 d0 300 N 
27309.0000 M365 89551 s10 d0 300 N 
27382.0000 M366 76468 s34 d0 300 N 
27452.0000 M367 85548 s30 d0 300 N 
27513.0000 M368 70468 s15 d0 300 N 
27594.0000 M369 76460 s41 d0 300 N 
27676.0000 M370 78478 s37 d0 300 N 
27757.0000 M371 51855 s34 d0 300 N 
27832.0000 M372 90400 s30 d0 300 N 
27897.0000 M373 68070 s17 d0 300 N 
27968.0000 M374 98836 s35 d0 300 N 
28049.0000 M375 94410 s40 d0 300 N 
28125.0000 M376 94881 s8 d0 300 N 
28190.0000 M377 57563 s43 d0 300 N 
28273.0000 M378 54245 s39 d0 300 N 
28348.0000 M379 85433 s30 d0 300 N 
28411.0000 M380 84468 s31 d0 300 N 
28481.0000 M381 63983 s21 d0 300 N 
28554.0000 M382 88448 s38 d0 300 N 
28637.0000 M383 51063 s30 d0 300 N 
28700.0000 M384 64692 s36 d0 300 N 
28764.0000 M385 97845 s29 d0 300 N 
28848.0000 M386 50305 s44 d0 300 N 
28932.0000 M387 76507 s12 d0 300 N 
29008.0000 M388 97788 s33 d0 300 N 
29096.0000 M389 93126 s12 d0 300 N 
29168.0000 M390 91622 s8 d0 300 N 
29228.0000 M391 68170 s32 d0 300 N 
29317.0000 M392 82912 s22 d0 300 N 
29382.0000 M393 98406 s38 d0 300 N 
29446.0000 M394 75170 s14 d0 300 N 
29518.0000 M395 57121 s38 d0 300 N 
29584.0000 M396 74579 s17 d0 300 N 
29646.0000 M397 79063 s14 d0 300 N 
29724.0000 M398 99464 s41 d0 300 N 
29794.0000 M399 78133 s16 d0 300 N 
29866.0000 M400 96314 s33 d0 300 N 
29929.0000 M401 69156 s17 d0 300 N 
30017.0000 M402 83756 s32 d0 300 N 
30090.0000 M403 88465 s31 d0 300 N 
30178.0000 M404 58229 s35 d0 300 N 
30243.0000 M405 83763 s35 d0 300 N 
30311.0000 M406 76362 s17 d0 300 N 
30381.0000 M407 62931 s42 d0 300 N 
30441.0000 M408 81846 s30 d0 300 N 
30521.0000 M409 66831 s26 d0 300 N 
30587.0000 M410 98930 s24 d0 300 N 
30666.0000 M411 74428 s15 d0 300 N 
30745.0000 M412 91667 s9 d0 300 N 
30831.0000 M413 99847 s15 d0 300 N 
30910.0000 M414 88739 s8 d0 300 N 
30973.0000 M415 50314 s18 d0 300 N 
31045.0000 M416 66734 s28 d0 300 N 
31120.0000 M417 99696 s34 d0 300 N 
31196.0000 M418 71787 s12 d0 300 N 
31271.0000 M419 90940 s44 d0 300 N 
31355.0000 M420 66381 s16 d0 300 N 
31431.0000 M421 87675 s29 d0 300 N 
31515.0000 M422 83176 s24 d0 300 N 
